1.25	0.4126333048519164	0.46385970320357073	0.5203683958142333
3.75	0.41265554743542077	0.463884648813791	0.5203964153139798
6.5	0.4160660465930646	0.4686707022845736	0.5261368868702413
10	0.4326497890448106	0.49191450631751843	0.5528982856296298
16	0.45929507027551936	0.5241289589654385	0.5934706120879414
# Eof
#Y1S-pt
#pt	etabar=1/(4pi)	        etabar=2/(4pi)	        etabar=3/(4pi)
