-3		0.98862302
-2.9		0.98520846
-2.8		0.98175475
-2.7		0.97826188
-2.6		0.97472986
-2.5		0.97115869
-2.4		0.96654259
-2.3		0.9598758
-2.2		0.9511583
-2.1		0.94039011
-2		0.92757122
-1.9		0.91270164
-1.8		0.89578135
-1.7		0.87681037
-1.6		0.85578868
-1.5		0.8327163
-1.4		0.80947471
-1.3		0.78794537
-1.2		0.76812829
-1.1		0.75002347
-1		0.73363091
-0.9		0.71895061
-0.8		0.70598256
-0.7		0.69472678
-0.6		0.68518326
-0.5		0.677352
-0.4		0.67107438
-0.3		0.66619179
-0.2		0.66270422
-0.1		0.66061168
0		0.65991417
0.1		0.66061168
0.2		0.66270422
0.3		0.66619179
0.4		0.67107438
0.5		0.677352
0.6		0.68518326
0.7		0.69472678
0.8		0.70598256
0.9		0.71895061
1		0.73363091
1.1		0.75002347
1.2		0.76812829
1.3		0.78794537
1.4		0.80947471
1.5		0.8327163
1.6		0.85578868
1.7		0.87681037
1.8		0.89578135
1.9		0.91270164
2		0.92757122
2.1		0.94039011
2.2		0.9511583
2.3		0.9598758
2.4		0.96654259
2.5		0.97115869
2.6		0.97472986
2.7		0.97826188
2.8		0.98175475
2.9		0.98520846
3		0.98862302
