-3	0.96206874
-2.9	0.94020256
-2.8	0.91808324
-2.7	0.89571078
-2.6	0.87308519
-2.5	0.85020647
-2.4	0.82744605
-2.3	0.80517538
-2.2	0.78339445
-2.1	0.76210327
-2	0.74130184
-1.9	0.72099015
-1.8	0.70116822
-1.7	0.68183602
-1.6	0.66299358
-1.5	0.64464088
-1.4	0.62722683
-1.3	0.61120033
-1.2	0.59656138
-1.1	0.58330997
-1	0.57144612
-0.9	0.56096982
-0.8	0.55188107
-0.7	0.54417986
-0.6	0.53786621
-0.5	0.5329401 
-0.4	0.52913101
-0.3	0.52616838
-0.2	0.52405221
-0.1	0.52278251
0	0.52235928
0.1	0.52278251
0.2	0.52405221
0.3	0.52616838
0.4	0.52913101
0.5	0.5329401 
0.6	0.53786621
0.7	0.54417986
0.8	0.55188107
0.9	0.56096982
1	0.57144612
1.1	0.58330997
1.2	0.59656138
1.3	0.61120033
1.4	0.62722683
1.5	0.64464088
1.6	0.66299358
1.7	0.68183602
1.8	0.70116822
1.9	0.72099015
2	0.74130184
2.1	0.76210327
2.2	0.78339445
2.3	0.80517538
2.4	0.82744605
2.5	0.85020647
2.6	0.87308519
2.7	0.89571078
2.8	0.91808324
2.9	0.94020256
3	0.96206874
