-3		0.98625899
-2.9		0.974194  
-2.8		0.96198884
-2.7		0.94964352
-2.6		0.93715803
-2.5		0.92453237
-2.4		0.91126857
-2.3		0.89686865
-2.2		0.8813326 
-2.1		0.86466042
-2		0.84685212
-1.9		0.8279077 
-1.8		0.80782715
-1.7		0.78661048
-1.6		0.76425768
-1.5		0.74076875
-1.4		0.71765908
-1.3		0.69644402
-1.2		0.67712358
-1.1		0.65969776
-1		0.64416655
-0.9		0.63052997
-0.8		0.618788  
-0.7		0.60894066
-0.6		0.60098793
-0.5		0.59492982
-0.4		0.59033009
-0.3		0.58675253
-0.2		0.58419713
-0.1		0.58266389
0		0.58215281
0.1		0.58266389
0.2		0.58419713
0.3		0.58675253
0.4		0.59033009
0.5		0.59492982
0.6		0.60098793
0.7		0.60894066
0.8		0.618788  
0.9		0.63052997
1		0.64416655
1.1		0.65969776
1.2		0.67712358
1.3		0.69644402
1.4		0.71765908
1.5		0.74076875
1.6		0.76425768
1.7		0.78661048
1.8		0.80782715
1.9		0.8279077 
2		0.84685212
2.1		0.86466042
2.2		0.8813326 
2.3		0.89686865
2.4		0.91126857
2.5		0.92453237
2.6		0.93715803
2.7		0.94964352
2.8		0.96198884
2.9		0.974194  
3		0.98625899
