-3	0.96206874	0.98625899	0.98862302
-2.9	0.94020256	0.974194	0.98520846
-2.8	0.91808324	0.96198884	0.98175475
-2.7	0.89571078	0.94964352	0.97826188
-2.6	0.87308519	0.93715803	0.97472986
-2.5	0.85020647	0.92453237	0.97115869
-2.4	0.82744605	0.91126857	0.96654259
-2.3	0.80517538	0.89686865	0.9598758
-2.2	0.78339445	0.8813326	0.9511583
-2.1	0.76210327	0.86466042	0.94039011
-2	0.74130184	0.84685212	0.92757122
-1.9	0.72099015	0.8279077	0.91270164
-1.8	0.70116822	0.80782715	0.89578135
-1.7	0.68183602	0.78661048	0.87681037
-1.6	0.66299358	0.76425768	0.85578868
-1.5	0.64464088	0.74076875	0.8327163
-1.4	0.62722683	0.71765908	0.80947471
-1.3	0.61120033	0.69644402	0.78794537
-1.2	0.59656138	0.67712358	0.76812829
-1.1	0.58330997	0.65969776	0.75002347
-1	0.57144612	0.64416655	0.73363091
-0.9	0.56096982	0.63052997	0.71895061
-0.8	0.55188107	0.618788	0.70598256
-0.7	0.54417986	0.60894066	0.69472678
-0.6	0.53786621	0.60098793	0.68518326
-0.5	0.5329401	0.59492982	0.677352
-0.4	0.52913101	0.59033009	0.67107438
-0.3	0.52616838	0.58675253	0.66619179
-0.2	0.52405221	0.58419713	0.66270422
-0.1	0.52278251	0.58266389	0.66061168
0	0.52235928	0.58215281	0.65991417
0.1	0.52278251	0.58266389	0.66061168
0.2	0.52405221	0.58419713	0.66270422
0.3	0.52616838	0.58675253	0.66619179
0.4	0.52913101	0.59033009	0.67107438
0.5	0.5329401	0.59492982	0.677352
0.6	0.53786621	0.60098793	0.68518326
0.7	0.54417986	0.60894066	0.69472678
0.8	0.55188107	0.618788	0.70598256
0.9	0.56096982	0.63052997	0.71895061
1	0.57144612	0.64416655	0.73363091
1.1	0.58330997	0.65969776	0.75002347
1.2	0.59656138	0.67712358	0.76812829
1.3	0.61120033	0.69644402	0.78794537
1.4	0.62722683	0.71765908	0.80947471
1.5	0.64464088	0.74076875	0.8327163
1.6	0.66299358	0.76425768	0.85578868
1.7	0.68183602	0.78661048	0.87681037
1.8	0.70116822	0.80782715	0.89578135
1.9	0.72099015	0.8279077	0.91270164
2	0.74130184	0.84685212	0.92757122
2.1	0.76210327	0.86466042	0.94039011
2.2	0.78339445	0.8813326	0.9511583
2.3	0.80517538	0.89686865	0.9598758
2.4	0.82744605	0.91126857	0.96654259
2.5	0.85020647	0.92453237	0.97115869
2.6	0.87308519	0.93715803	0.97472986
2.7	0.89571078	0.94964352	0.97826188
2.8	0.91808324	0.96198884	0.98175475
2.9	0.94020256	0.974194	0.98520846
3	0.96206874	0.98625899	0.98862302
